latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count
40.75685194,-73.96475423,1,0,0,2,1,1,1,4,160,2,0,3,14,21,51,72,322,62,86,9,7,9,9,10,9,1
40.83059907,-73.94101428,0,0,0,10,1,3,3,4,105,1,50,1,180,28,58,88,348,22,85,8,8,9,8,7,8,2
40.69218932,-73.92412,1,0,1,2,1,1,2,4,58,1,12,3,30,4,13,26,227,35,98,10,10,10,10,9,10,4
40.73475109,-74.00259246,1,0,0,2,1,1,1,4,185,1,0,10,30,1,1,1,274,26,96,10,9,10,10,10,9,1
40.74528161,-73.99783627,1,0,0,2,1,1,2,4,195,1,0,1,1125,30,60,90,365,1,100,10,10,10,10,10,10,1
40.6790599,-73.99473046,1,0,0,6,1,2,3,4,165,2,15,2,365,11,33,57,287,16,96,10,9,10,9,10,9,2
40.72602241,-73.98641795,1,0,0,4,1,2,2,4,150,2,20,1,1125,30,60,90,274,14,96,10,9,9,10,10,9,4
40.68642018,-73.9344017,1,0,2,2,1,1,1,4,40,1,36,4,30,0,30,60,335,10,94,10,9,10,10,9,9,4
40.75112878,-73.98534538,1,0,2,4,1,1,4,4,80,1,80,3,365,30,60,90,365,7,80,7,6,10,9,10,8,25
40.6677904,-73.93678658,1,0,1,2,1,1,1,4,110,2,35,1,1125,29,59,89,364,26,91,9,10,10,10,8,9,3
40.76067918,-73.98444316,1,0,0,3,1,1,2,4,189,1,35,19,1125,30,60,90,365,7,86,5,8,9,10,10,8,3
40.73510923,-74.00182143,1,0,0,3,1,1,1,4,200,2,15,2,14,4,34,64,339,8,100,10,9,10,10,10,9,1
40.73328538,-73.9843566,1,0,1,1,1,1,1,4,95,1,0,5,30,30,60,90,365,6,90,9,9,9,9,10,9,2
40.86227015,-73.9270169,1,0,0,2,1,1,1,4,125,1,0,1,1125,30,60,90,365,2,100,10,8,10,10,8,10,1
40.84796614,-73.93046644,1,0,2,1,1,1,1,4,35,1,0,7,31,30,60,90,365,6,73,8,8,8,8,9,8,3
40.67099719,-73.9581066,1,0,0,4,1,1,2,4,165,1,20,1,1125,14,44,74,349,1,80,8,6,8,8,10,10,1
40.70687933,-74.00548582,1,0,1,2,1,1,1,4,100,1,50,2,1125,0,3,33,123,30,90,8,8,10,10,10,9,2
40.80652596,-73.95193601,1,0,0,2,1,1,1,4,110,1,0,2,1125,6,6,6,191,2,100,10,8,10,10,8,8,1
40.72606714,-73.95102528,1,0,1,1,1,1,1,4,65,1,20,1,1125,1,31,61,336,4,95,10,10,10,10,10,10,2
40.79932214,-73.96767927,1,0,1,2,1,1,1,4,150,1,0,2,7,12,32,57,332,11,96,10,10,10,10,10,9,1
40.81316065,-73.94902419,1,0,0,10,1,3,5,4,255,3,25,1,1125,3,33,63,324,33,88,9,8,9,9,7,8,10
40.73400013,-73.99449085,1,0,0,2,1,1,2,4,299,2,0,5,180,29,59,78,353,37,92,9,9,9,10,10,9,1
40.72345022,-74.00325733,1,0,0,2,1,0,1,4,195,1,0,1,1125,0,0,0,213,1,100,10,10,10,10,10,10,1
40.71117318,-74.00667598,1,0,0,3,1,1,1,4,365,1,0,2,1125,30,60,90,347,1,100,10,10,10,10,10,10,1
40.73021049,-73.98145037,1,0,0,5,1,1,2,4,225,2,30,1,30,29,59,89,364,13,95,10,9,10,10,10,9,10
40.82490946,-73.95137108,1,0,1,4,1,1,1,4,90,2,40,2,14,0,5,5,220,2,91,9,9,10,10,8,9,1
40.80117641,-73.95450999,1,0,0,4,1,1,2,4,125,1,0,2,1125,0,0,0,6,3,100,10,10,10,10,9,9,1
40.81094295,-73.95097066,1,0,1,2,1,1,1,2,109,1,39,2,28,30,60,90,365,20,93,10,9,10,10,8,8,1
40.81904473,-73.94325286,1,1,1,2,1,1,1,4,89,1,0,2,1125,0,0,15,270,27,97,10,10,10,10,9,10,1
40.77968507,-73.9533856,1,0,0,4,1,2,2,4,250,1,0,1,1125,25,55,85,360,4,95,10,10,10,10,10,10,4
40.75619433,-73.93004987,1,1,1,2,1,1,1,4,66,1,22,2,300,26,56,86,361,33,92,9,9,9,10,9,9,3
40.82322106,-73.95576409,1,0,1,2,1,1,1,4,70,1,5,4,27,14,29,53,328,19,88,9,9,9,9,9,9,3
40.69227781,-73.93093563,1,0,1,2,1,1,1,4,35,1,5,1,1125,22,52,82,357,10,80,10,8,8,9,9,9,12
40.73636309,-74.00194059,1,0,1,2,1,1,1,4,125,1,20,3,365,30,60,90,365,3,93,9,8,9,10,10,9,1
40.77322447,-73.95091014,1,0,0,5,1,1,1,4,199,4,50,3,120,28,58,87,87,37,93,10,9,10,9,9,9,1
40.7076077,-73.94266309,1,0,0,6,1,2,2,4,140,1,0,3,10,0,0,0,0,2,100,10,8,10,10,8,10,2
40.71332286,-73.93629172,1,2,0,4,1,0,2,4,149,2,25,3,20,0,2,32,122,2,100,10,10,10,8,9,10,1
40.71317202,-73.93690763,1,0,0,5,1.5,1,2,4,275,2,25,7,30,0,0,0,1,3,99,10,10,10,10,9,10,1
40.79456326,-73.96828413,1,0,1,1,1,1,1,4,150,0,0,2,30,30,60,90,365,1,94,10,8,10,8,10,10,1
40.67660167,-73.98390418,1,0,0,4,1,1,2,4,139,2,10,6,7,0,0,4,272,1,93,10,8,10,10,10,8,1
40.7160687,-74.00782339,1,0,0,3,1,1,1,4,275,1,25,3,30,3,7,13,285,5,95,10,10,10,10,10,10,1
40.81289807,-73.95213176,1,0,1,2,1,1,1,4,60,1,20,3,28,2,13,27,298,3,80,7,6,10,10,9,9,1
40.70892155,-73.96097463,1,0,1,2,1,1,1,4,60,1,12,4,365,18,48,78,353,71,94,9,9,10,10,9,9,1
40.68915093,-73.96535848,1,1,0,4,1,1,1,4,150,2,25,1,1125,30,60,90,365,14,94,9,10,10,10,10,9,5
40.81333633,-73.94587011,1,0,1,2,1,1,1,4,60,0,15,2,10,27,57,87,87,16,96,10,10,10,10,9,9,1
40.7199267,-73.98919368,1,0,0,6,1,2,2,4,145,2,40,2,24,29,59,89,358,4,95,10,9,10,10,10,10,1
40.66878586,-73.98226159,1,0,1,2,1,1,1,4,65,1,20,2,30,30,56,86,361,27,88,10,9,9,9,10,9,1
40.74684398,-74.00205523,1,0,1,2,1,1,1,4,125,1,30,3,8,17,17,17,78,17,94,9,10,10,10,10,9,1
40.68208287,-73.98614377,1,0,0,2,1,1,1,4,130,2,0,2,365,0,1,1,1,41,96,9,9,10,10,9,10,1
40.72437725,-73.99647351,1,0,0,2,1,1,1,4,225,2,30,2,1125,0,1,31,274,4,100,10,10,10,10,10,10,1
40.73230575,-73.99672089,1,0,0,2,1,1,1,4,219,1,0,1,1125,0,0,0,107,17,97,10,10,10,10,10,10,2
40.74389823,-74.00197266,1,0,0,3,1,2,1,4,209,2,50,2,1125,0,0,0,229,6,87,10,8,10,10,10,9,1
40.72218018,-73.98432975,1,0,0,3,1,2,1,4,250,1,0,5,21,29,59,89,364,2,97,9,10,10,10,10,9,1
40.72193995,-74.00095429,1,0,0,4,1,1,1,4,200,2,45,1,365,28,58,88,363,37,87,9,7,9,9,9,8,1
40.80151571,-73.9586226,1,0,0,3,1,1,2,4,149,2,29,3,365,0,0,0,0,36,95,10,10,10,10,9,9,1
40.70471893,-73.92130977,1,0,1,6,1,1,2,4,250,2,25,1,1125,28,58,88,363,2,89,6,10,10,10,8,9,5
40.6921529,-73.9598921,1,0,1,2,1,1,1,4,60,2,20,2,30,19,49,68,343,27,91,10,9,9,9,9,9,1
40.79864744,-73.95405242,1,0,1,1,1,1,1,4,65,1,0,7,15,27,57,87,362,20,98,10,10,10,10,9,9,1
40.7105862,-73.94782826,1,0,1,2,1,1,1,4,95,1,30,3,90,11,11,11,246,44,94,10,9,10,9,9,9,2
40.7479741,-73.99302396,1,0,1,3,1,1,1,4,200,2,100,2,100,20,48,48,259,8,95,10,10,9,10,10,10,1
40.69177597,-73.93229773,1,0,0,4,1,1,2,4,95,4,20,1,1125,28,58,88,363,37,79,8,8,8,8,7,8,3
40.7831962,-73.97784602,1,0,0,2,1,1,1,4,195,1,0,5,1125,0,0,0,118,3,98,10,10,9,10,10,10,1
40.69271083,-73.92535011,1,0,0,5,1,2,3,4,170,4,30,3,1125,29,59,89,364,5,100,10,10,10,10,9,10,1
40.70762077,-73.96763822,1,2,0,3,1,1,1,4,450,2,50,2,15,30,60,90,355,11,98,10,10,10,10,10,9,1
40.73303812,-74.00478644,1,0,0,4,1,2,2,4,300,1,0,1,1125,9,9,9,224,2,96,10,8,10,10,10,9,1
40.73101615,-73.9931823,1,0,0,3,1,1,1,4,369,2,80,2,1125,30,60,90,365,4,90,9,9,10,10,10,7,1
40.74825354,-73.97154998,1,0,1,2,1,1,1,4,118,1,35,1,1125,30,60,90,365,12,95,9,8,10,10,10,9,3
40.8249946,-73.94238358,1,0,1,2,1,1,2,4,80,1,25,1,1125,30,60,90,365,4,100,10,10,10,10,10,10,1
40.69075031,-73.97192375,1,0,0,3,1,1,2,4,133,1,45,1,1125,30,60,90,365,30,90,8,9,9,9,10,9,1
40.72547998,-73.9461794,1,0,0,2,1,1,1,4,169,1,0,1,8,0,8,9,284,6,100,10,10,10,10,10,10,1
40.6729217,-73.91307535,1,1,1,1,2,1,1,4,50,1,10,2,180,5,5,5,274,54,94,10,9,10,10,8,9,3
40.72649204,-73.95519709,1,0,0,2,1,2,1,4,142,1,0,5,1125,16,46,76,351,5,100,10,9,10,9,10,9,1
40.71575479,-73.95573829,1,0,1,2,1,1,1,4,85,2,0,1,1125,0,0,0,28,1,100,10,10,10,10,10,10,1
40.80500437,-73.94483503,1,0,0,4,1.5,2,2,4,125,2,40,7,31,28,43,73,346,3,100,9,9,10,10,9,9,1
40.71134392,-73.96052811,1,0,1,2,1,1,1,4,85,2,0,3,21,30,60,90,365,33,95,10,9,9,9,10,9,1
40.81091778,-73.94073536,1,0,0,3,1,1,2,4,195,1,0,3,7,30,60,90,365,1,97,10,10,10,10,8,10,1
40.81610845,-73.89909446,1,0,0,5,1,2,2,4,120,2,30,3,365,28,58,88,363,23,93,10,9,9,10,8,10,1
40.71287167,-73.96433632,1,0,1,2,1,1,1,4,100,1,5,1,1500,10,13,43,310,32,89,9,9,9,9,9,9,8
40.69774736,-73.93389232,1,0,0,2,1,0,1,4,85,1,0,2,7,12,42,72,347,3,90,10,8,10,10,9,7,1
40.71143959,-73.96160924,1,0,1,2,1,1,1,4,110,1,20,1,93,10,10,19,294,21,96,9,10,10,10,10,9,2
40.8044212,-73.95238609,1,0,0,2,1,1,1,4,117,2,31,3,365,21,51,81,346,2,97,10,10,10,10,8,10,1
40.68613409,-73.98126589,1,0,0,2,1,1,1,4,145,2,0,1,20,28,58,88,363,6,97,10,9,10,10,9,9,1
40.68193714,-73.94067866,1,0,0,6,1,1,6,4,75,1,25,3,14,30,60,90,365,5,87,8,8,9,9,8,8,4
40.7474812,-73.98239466,1,0,0,4,1,2,2,4,445,4,95,1,1125,24,54,84,359,16,99,10,10,9,9,10,10,4
40.7694072,-73.95049759,1,0,0,4,1,1,2,4,99,2,25,1,365,2,8,9,284,99,91,9,8,9,9,9,9,1
40.71879473,-73.9895761,1,0,1,2,1,1,1,4,150,1,50,3,14,30,60,90,365,9,98,10,10,10,10,10,10,2
40.80093343,-73.9547903,1,3,1,2,2,1,1,4,85,1,15,7,1125,30,60,90,365,11,89,8,8,9,10,8,9,5
